"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5153.29821050756","4473.5190883177","2634.96312448389","2484.55232933972","2683.63753337356","2912.78105698073","3105.95278074442","3236.06050832406","3505.36840234803","3660.03411955301","3921.85752187599","4346.90750559669","4965.22435904764","5698.77847656251","6334.85615310927","7259.20389235415","8273.78569972956","9476.47149359946","10201.5594510386","8819.67745940627","9068.78765139006","9551.15813085673","10289.9756312671","10677.3036548195","11105.5324996261","11506.0389896756","11580.3836431751","12509.6396064818","13231.4310690444","14317.5528692827","13357.6970638572","14206.5445701331","16057.0064572714",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17016.8647630669","17303.6392602593","17226.6157608282","17812.4674330598","18651.0235841782","17492.1005897524","18273.3328073052","18888.8943876167","19413.4619485056","19792.5985343882","20674.8162626598","19434.1634383108","19384.5842042481","20330.7326376568","21267.3168789666","22381.0243942087","24905.3038034984","26853.2107305346","26451.0587713159","22933.3673771156","20848.9135243651","20196.8676922583","20266.7283863741","20175.8195454841","20451.2189691873","20584.147863768","21280.6436868977","21672.0448949248","23050.6849829255","23638.6852364576","19062.4125766856","20501.1624742145","22321.8700193402",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30897.9651381514","30390.1351162143","30180.3104803838","31123.0643707789","32051.4941042111","32927.3336967038","33786.9998050018","34731.3020167122","35990.3875945315","37388.5897978152","38412.6424452041","38690.5698814133","39775.2705165483","40535.6697466697","41798.7180224627","42595.4288564671","43182.3853613612","44001.4292882263","44675.1403940644","44592.1459771989","44881.3260742963","45328.2597058221","46289.1852995649","46685.097350806","47193.1716301214","47543.0801361158","48107.0674601139","48418.558421681","49085.9333718305","49420.9404224359","48651.7349653922","49609.2311012377","51090.2633278214",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37494.5604129864","38399.6740222967","38774.4902606316","38658.6497800224","39435.210024783","40425.3937190819","41319.3749974645","42136.6622802741","43597.8900710725","45060.6187543953","46469.8610601036","46878.9162398602","47419.2784117541","47633.1140009916","48633.2718157639","49387.0278641202","50840.6944621561","52565.0739687956","53166.0542015286","51030.7246778186","51843.4283275453","53179.1474647432","53297.4447850919","52997.7538166712","52932.9001116518","52873.8586545571","53345.7415259818","54172.9867888254","55217.2865300768","55769.6841038798","51854.7493457907","53817.3062578724","55867.1838072071",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7616.91027506113","7463.62885967495","5690.18091817449","4309.92146212108","3414.51120535595","2976.99522138353","2985.3371754857","3128.1641351317","3408.4753810397","3628.71688349932","3998.52048313078","4360.45944142426","4736.56437632615","5180.68645770222","5610.76313748494","7106.59790726031","9453.94185980601","11684.1915431474","12672.3762154835","13565.8550922117","14082.2381481679","13913.8366943419","14027.468790254","14651.693970776","14867.9437345406","14852.6117080302","14232.1926180142","14121.4069355591","14209.5931685619","14442.0408668016","13726.7696576885","14433.9042060355","15094.2841004892",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1175.15508588164","1209.38815751804","1190.06743509192","1153.54130871448","1103.16729785112","956.490976068577","880.309412060732","867.284264991798","891.699843688771","862.006680432851","837.348411451095","833.670878742379","846.747295184596","810.552335241984","818.746063270769","796.108713073826","809.696010652699","807.44748064358","812.592169776878","801.803427362171","804.354940804194","807.6649575843","814.32077076854","824.610522607553","831.294838603726","781.579287257152","764.336602194152","750.787616270977","740.448222531284","729.65846261506","711.355263408189","714.066712371476","708.178313385561",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35506.9265146541","36023.6842838954","36426.9931547081","35935.9573927225","36981.4489459975","37784.149887365","38208.7186734905","39562.3729801955","40252.4689057051","41583.0973922951","43024.1399101042","43347.8892099274","43890.5981100134","44160.9114292454","45540.4669120107","46342.1866093314","47212.577772728","48590.4005353331","48423.515483961","47064.7900198376","47972.558838523","48154.8711461252","48210.9246578014","48204.5856992867","48748.6205926039","49456.3985817783","49829.9273887741","50442.2705419624","51113.4817384021","51977.1736814287","49030.9912855647","52174.9068234526","53287.1536143837",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2109.55920513579","2132.3966850458","2129.20108347753","2155.36648401633","2118.27856422624","2200.59364892044","2237.52618632304","2297.99416163223","2317.48115327396","2367.76107914042","2431.44550294654","2485.11637812184","2523.60981807462","2532.99827251271","2566.34549968205","2528.67632574197","2549.1942622816","2625.21259437598","2673.76918464907","2656.43147887534","2634.13456654935","2633.93889798441","2681.35149684201","2792.0271283962","2883.89892063343","2849.82032440254","2859.39151002765","2933.83738431719","3040.16735376931","3156.43876330799","3186.48609895157","3321.55197071047","3435.1716165759",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","981.844761883421","1044.17391975505","1021.14451625888","1030.55920362618","1018.1222087886","1049.08371744821","1135.25666022841","1176.38390281081","1228.1228689112","1280.92272037571","1266.74481663807","1310.07221197696","1325.70342969155","1385.45504828434","1402.78437162473","1477.03982209929","1521.15445427702","1536.3858137955","1578.34582603774","1578.14893890186","1661.87202140763","1720.08252228733","1776.39099745576","1823.59495248367","1846.64512676697","1862.85471186197","1916.7563817824","1978.15501161376","2051.21843060824","2106.03617656111","2089.56780406926","2176.0933547614","2158.8585157544",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.36894123549","1756.33262053006","1818.15076117445","1867.78093404342","1903.58082754806","1964.06112164315","2017.21352214829","2070.43744174843","2137.15003885528","2194.5264715033","2267.07534263548","2337.36457838974","2382.28146619565","2451.99022708859","2537.95070871986","2663.09625116971","2806.59268460145","2973.2813184428","3124.22679044642","3253.0913296157","3395.36478001701","3571.05863939925","3756.93192442051","3932.7083218214","4119.42463056385","4337.38589269384","4589.09352178014","4830.77629051855","5124.49874345916","5467.20750902916","5591.3737660456","5911.01298340558","6263.00463511584",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12508.3215072884","11565.9359530492","10840.6055909985","10765.6738554221","10998.6816722359","11363.9684323921","12017.3250241083","10384.0596754062","10849.6835021497","9994.61186034756","10504.8425071776","11125.8005456499","12037.5838020086","12768.7541486466","13703.0955793898","14780.9128790866","15906.7528197486","17090.4520179688","18265.7840875983","17768.5135364396","18164.0546275327","18663.004999518","18911.9818038658","18914.8978133559","19203.3250582958","19982.8670264085","20732.5799920558","21458.0493617274","22196.0195883009","23254.7879128869","22466.9185666618","24386.1797970045","26961.2912585423",
"Bahrain","BHR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36997.7356016117","39769.3118096101","40971.726502181","44690.4148162104","43113.4812404734","43369.1535690876","43737.1881449762","43716.0207493882","44458.4383668438","45053.7461151746","46154.0295372007","46084.9272072473","46478.2054226708","47504.5573094864","47455.239988126","46821.0246254023","46303.4870146222","46792.1742553463","46588.6421016907","44972.7455841236","45600.0662441489","46564.7108841565","47793.5309713178","48915.5299366185","49117.9884481019","48453.7258486635","48486.3027470537","48929.4470119951","48937.6603623739","49768.9762142136","47994.4142924226","49754.0477370429","51854.7163705359",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36161.1101272085","33973.7945955771","31988.688477061","31397.7819786318","31743.9131876444","32519.2363493375","33294.8310236818","33154.0806018068","34142.5221987009","36024.9876560879","36972.0410679884","37412.0476339909","37920.6063872967","36944.5171631828","36770.9064884765","37504.264217218","37918.2472565634","37928.6234252671","36523.5410175063","34498.1634486663","34539.5823712746","34321.2409125565","34999.8273975448","33681.5580088966","33996.8262833236","34023.7194329397","33484.5333364444","34067.8461834433","34810.2775023066","34324.996665818","26132.2075199469","30463.0833389357","34663.4964494117",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.13315285261","2096.57808965985","3802.25266186916","4933.10053201171","5609.38421760351","6091.69866909276","6826.04578880371","6965.49259382449","7309.61847464404","7618.88246270355","8180.76555690437","8600.39925179379","9146.92287778603","9803.97257331454","10506.7304241748","10363.5731575957","10636.1320733253","10933.1079218931","11046.1933522079","11483.3239341376","11767.0484220441","12437.5705558327","13000.6956311506","13582.2669822916","14267.6061907665","14851.7385030173","14587.5700530203","15893.1563224417","16737.2260122958",
"Belarus","BLR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8895.17217109963","8784.37683521504","7923.64988700443","7305.30647279312","6458.21417784941","5805.36281083486","5988.03935214022","6698.45748186812","7293.90777852025","7575.91787763915","8053.17315549683","8477.08350803544","8961.6405895373","9660.19311285561","10839.9556222386","11940.1858865971","13214.8707840386","14417.3526705805","15942.8967331861","16014.1145672406","17300.7026474673","18274.0196322851","18611.453108112","18805.4297393376","19119.3121378627","18362.6952543104","17883.19031839","18356.0660575514","18974.7452169516","19288.0406878264","19239.5531427458","19872.6924952009","19092.1111740223",
"Belize","BLZ","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6292.17925681257","6887.22752472205","7607.84636991816","7913.54154124711","7742.92714339227","7602.62391320554","7456.46678003468","7511.72202606034","7533.8460756969","7966.56538210169","8656.33038856931","8806.73720964056","8996.23265536761","9566.36368954138","9724.23505774441","9647.65630797896","9791.1701849876","9826.60428795564","9406.42531895382","9110.68433445723","8996.43017873374","8767.31491539721","8885.54529802773","9074.46258757489","9233.08511563139","9331.31266298748","9141.2454122414","8798.69905704344","8719.99084920896","8925.19030811654","7586.02364366463","8826.85980201184","9473.7056187",
"Bermuda","BMU","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65961.4062780667","63958.8962542416","64385.4074102651","65967.8500138776","65904.7204209603","68313.3818545185","69643.4075205287","72403.8804374561","74677.0924239116","76772.3238467835","83181.5263421175","88231.783860841","86364.153739107","88727.3112693061","90195.8115646944","91114.0769901835","95615.3606970562","98257.9926982026","95855.800692618","89961.9827443671","88399.9159492493","85829.3782604391","80982.367755316","80503.6502910788","77361.1048812589","77842.7539032209","78149.352535184","81834.9558735543","81423.4084533215","81681.7266682559","76117.8047438727","78570.4895148396","81165.6509443183",
"Bolivia","BOL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4437.86683057006","4575.70675070753","4556.99345438866","4657.03039924217","4779.83922848367","4909.17825869248","5028.44409808129","5181.41650362561","5343.95741229026","5270.02754322962","5305.61926053567","5300.31433934189","5337.76585299394","5387.58177415191","5515.65581948199","5660.57481952264","5829.3713331054","5989.68992705155","6248.93395762807","6349.00791388597","6499.81815758581","6724.30067260437","6952.73837566093","7305.22798770529","7581.59842759216","7825.76674838841","8034.17272467539","8244.93344575115","8466.29319952075","8528.74880360829","7679.93319449802","8052.60002635529","8244.23565848464",
"Brazil","BRA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10401.8424448513","10328.9571222146","10103.7879427818","10431.4096597108","10867.7509166537","11151.1916421663","11224.3994564811","11432.650568882","11304.0969954989","11196.8385320758","11529.4866151644","11536.3638321407","11739.4318434051","11733.4111975412","12268.6638325485","12520.8549899009","12877.4441830466","13518.8477758477","14067.9458125763","13916.9632254972","14824.7411544273","15271.4693518003","15425.3529285957","15751.4844481235","15695.6431041785","15011.5771943529","14402.4940082453","14477.8617680601","14619.5911298271","14685.1278924674","14109.7639690445","14735.5817830152","15093.4651170661",
"Barbados","BRB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14086.431087319","13509.2062388947","12700.5336061198","12762.8529656156","12983.8173029414","13215.4678552194","13715.3566910728","14341.9567627394","14853.104840018","14873.0251192589","15505.8715219668","15098.0115024327","15155.3303251063","15424.5963566145","15583.7230790595","16141.6969800434","17057.5402404036","17346.8298843531","17383.7413342958","16438.683969536","16011.3643290824","15846.8682573297","15757.7485929024","15515.4974131252","15480.2090685691","15822.0995903355","16190.2363008037","16233.7921528506","16063.4537281839","16077.5147552255","14003.9220283777","13869.2422551336","15417.2964362331",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70358.7240942878","70439.0532043465","71781.1028963074","70154.4247266124","70570.9645144198","71966.0974087827","72320.987984446","69660.1860061146","67770.1724900991","68366.6631773269","68865.7872998496","69338.9207191783","70631.8736782129","71331.7527275359","70415.4241541023","69482.3838018272","71352.8857884172","70342.4093047527","67934.0640848731","65753.4057014535","66484.2415406151","68037.5229790103","67792.7546260517","65534.6831602734","63131.186248062","62170.0870232201","59980.9887454086","60173.0511336013","59650.2315273035","61424.3643132688","61603.5508036186","60127.0236144572","58669.9006928728",
"Bhutan","BTN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2895.53488844178","2836.64721786435","3085.45459835482","3298.42576951791","3458.944892156","3659.57324077702","3791.66175391665","3926.95459918099","4082.46835840825","4301.50370889461","4323.04103725923","4559.52388994547","4931.44010029077","5186.71244604326","5368.40231162608","5643.84986921345","5949.77319571466","6955.89170238421","7203.88609741544","7602.500151485","8416.1365922088","8988.40004796958","9346.08314189949","9442.81607043151","9886.98059766614","10445.5758475032","11196.7703394116","11619.0645094045","11931.6631740763","12530.1711498307","11176.2904187988","11595.683107514","",
"Botswana","BWA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9164.75697457096","9569.34024444481","9570.42875838813","9476.54172196002","9550.71083479788","9956.68327783221","10280.4975201375","10880.7159957426","10689.0825571862","11473.9206177298","11461.9352022438","11262.7574600857","11725.4123691102","12054.7229956143","12166.3142520909","12494.0599439792","13287.058541671","13783.206317513","13945.4234683719","11729.4179073599","12653.211746314","13250.0847313911","12975.7849055951","14144.3404811954","14664.7846875238","13682.1997756941","14373.3387418667","14656.772988721","14961.8311652622","15117.6843172752","13545.0474160116","14906.8978448412","15518.6510452679",
"Central African Republic","CAF","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.61339024031","1157.38166280191","1049.11941485628","1019.44100626915","1036.28390122035","1080.77006109473","1010.74388874746","1035.10745821896","1054.3129732191","1062.29825753147","1007.24783442941","1028.79140785186","1042.70864454409","962.86483675182","998.689099661647","985.324815965559","1011.77750952868","1038.75013264676","1038.33528617758","1103.4637660212","1130.89570808081","1160.41474143552","1208.51577049925","764.051500246645","765.259553983357","795.037018678033","818.395995276405","839.600009452135","854.647491304949","861.766788755873","847.765012420583","838.192950173093","823.982185329142",
"Canada","CAN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34562.8663465938","33423.884517918","33327.9474636636","33840.8182551814","34976.5928677945","35549.0930280333","35749.0452515392","36910.477860824","38031.624764122","39671.3846482747","41338.6470179142","41623.9503409049","42416.4087525762","42793.0792526308","43704.4139089537","44680.7964889693","45396.8396580252","45889.5621291537","45851.2019282813","44004.3141019538","44862.4194958293","45823.1642403883","46126.5138859002","46704.7622355677","47564.609109622","47522.1406673151","47457.5853457244","48317.1745835151","48962.4815108923","49175.6770500696","46181.7575545756","48218.038315768","48974.5865932969",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13981.9790037397","12634.3212631971","12376.5134161123","12572.233341825","13084.3218099758","13847.4885769012","14507.0290458441","14790.7464392608","15193.8509418584","15482.0376720355","16182.8326879332","16810.08443401","17543.1378372289","18305.6155085284","19458.456110698","20482.3344301313","21890.3511668123","23379.4791567785","24445.8943406443","23663.0928388787","24037.6917293156","24958.7093582139","25237.9285542862","25457.6501306588","26339.4808827834","27454.1008792505","28285.2422385467","29831.6804303224","31383.7962180645","32665.4025994485","31622.6970225447","33926.9309946519","35819.6565519513",
"Switzerland","CHE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56232.0260800298","55025.0113080535","54397.8807610933","53836.8088527935","54087.5195518484","53985.6453064421","54001.0531544987","55089.3272854773","56590.1173760702","57257.3182189262","59190.4153448838","59743.8159278462","59250.164469794","58793.1482985086","59967.9130411668","61223.3932373521","63318.7948865406","65213.1805367067","66197.8674738811","63873.952372012","65262.3409776047","65710.9150670028","65783.5891077254","66196.9473125694","66930.8686271126","67261.5940093857","67907.3938773543","68193.5054944094","69629.3366101135","69923.9312089954","67928.1915071394","71044.8674356977","72278.2072582055",
"Channel Islands","CHI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9701.82379076709","10290.0396601698","11256.2094832071","11812.6493787472","12221.5077027197","13122.9463422845","13825.1561997892","14652.7751929844","15074.5801100637","14855.3571822045","15415.7542853948","15725.6011594197","16053.6546092784","16636.6537467993","17571.024798241","18415.7549892739","19339.4876248703","20140.529651115","20695.5625605082","20255.0987842975","21225.1038563194","22323.7230847929","23467.9787267691","24011.5910136195","24197.1832806671","24464.7456627441","24599.3746324875","24546.9124213942","25071.9900691059","24809.8609735794","22970.5504348341","25412.7520724371","25886.1213561616",
"China","CHN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1423.89634791435","1534.70527155852","1731.65721550387","1949.53426824291","2178.92405681407","2391.47711551764","2601.36342608708","2812.71113467056","3004.42734148093","3206.73002580514","3451.67923096613","3712.33813229997","4024.35569657702","4400.82518349331","4817.21184464953","5334.64663946705","5979.78171185566","6795.17401247195","7412.87436351064","8069.35463834266","8884.58803129009","9680.0976996846","10370.7265717318","11101.9389300313","11851.4042175662","12612.3516513242","13399.1373202879","14243.5326108491","15133.9956182376","15977.7638280867","16296.6093791402","17657.6565563775","18187.8411189224",
